team,player,pos,gp,gs,min,pts,or,dr,reb,ast,stl,blk,to,pf,ast/to
MIL,Taurean Prince,F,10,0,20.2,5.7,0.0,1.7,1.7,0.8,0.7,0.2,0.5,2.3,1.6
MIL,Pete Nance,F,32,0,11.3,4.5,0.4,1.6,2.0,0.6,0.3,0.2,0.5,0.9,1.2
MIL,Jericho Sims,C,50,9,17.7,4.1,1.7,3.3,5.0,1.1,0.2,0.3,1.0,1.9,1.2
MIL,Mark Sears,G,7,0,3.7,3.1,0.1,0.1,0.3,0.3,0.0,0.0,0.6,0.6,0.5
MIL,Gary Harris,G,42,2,13.9,2.5,0.3,1.0,1.3,1.0,0.5,0.2,0.4,1.0,2.8
PHX,Amir Coffey,N/A,11,0,14.7,4.8,1.0,1.3,2.3,1.0,0.5,0.1,0.1,1.3,11.0
MIL,Thanasis Antetokounmpo,F,25,0,3.2,1.3,0.4,0.4,0.7,0.2,0.4,0.2,0.2,0.4,1.0
MIL,Andre Jackson Jr.,G,34,0,6.0,1.3,0.4,0.6,1.0,0.8,0.2,0.1,0.4,0.8,2.1
MIN,Anthony Edwards,G,56,56,35.5,29.4,0.6,4.4,5.0,3.7,1.4,0.8,2.8,1.8,1.3
MIN,Julius Randle,F,66,66,33.1,21.1,1.7,5.2,7.0,5.2,1.1,0.2,2.7,2.9,2.0
MIN,Jaden McDaniels,F,64,64,31.9,14.7,1.1,3.3,4.3,2.8,1.1,1.0,1.8,3.4,1.5
MIN,Naz Reid,C,65,2,26.1,13.9,1.2,5.2,6.3,2.3,1.0,1.0,1.6,2.5,1.5
MIN,Donte DiVincenzo,G,66,66,31.0,12.5,0.9,3.4,4.4,4.2,1.4,0.4,1.5,2.5,2.8
MIN,Rudy Gobert,C,63,63,31.4,10.8,3.8,7.5,11.3,1.8,0.8,1.6,1.3,2.7,1.3
MIN,Bones Hyland,G,57,3,14.9,7.2,0.4,1.3,1.6,2.6,0.5,0.2,0.9,1.7,3.0
MIN,Terrence Shannon Jr.,G,29,0,11.8,4.3,0.2,0.8,1.0,0.7,0.3,0.0,0.6,1.2,1.1
MIN,Mike Conley,G,46,9,18.1,4.2,0.3,1.4,1.7,2.8,0.6,0.3,0.6,1.4,4.8
MIN,Jaylen Clark,G,58,0,12.7,3.8,0.8,0.9,1.7,0.6,0.7,0.1,0.3,1.3,1.7
MIN,Joan Beringer,F,31,1,6.7,2.9,0.9,0.9,1.8,0.3,0.1,0.4,0.3,1.1,1.0
MIN,Johnny Juzang,G,21,0,4.2,2.0,0.2,0.6,0.8,0.3,0.1,0.0,0.2,0.1,1.2
MIN,Rocco Zikarsky,C,3,0,4.7,1.3,0.3,1.0,1.3,0.0,0.0,0.7,0.0,0.3,0.0
MIN,Joe Ingles,F,22,0,4.1,0.5,0.0,0.3,0.3,0.9,0.3,0.0,0.4,0.3,2.5
MIN,Enrique Freeman,F,2,0,4.0,0.0,0.0,1.5,1.5,0.0,0.0,0.5,0.0,0.0,0.0
NO,Trey Murphy IIIF,N/A,58,58,35.4,22.1,1.0,4.6,5.7,3.8,1.6,0.3,1.8,2.1,2.1
NO,Zion Williamson,F,50,43,29.6,21.4,2.2,3.7,5.9,3.4,1.0,0.5,2.1,2.3,1.6
NO,Dejounte Murray,G,7,7,26.4,17.6,0.3,5.0,5.3,5.4,1.9,0.3,3.6,2.9,1.5
NO,Saddiq Bey,G,60,52,30.9,17.3,1.7,4.1,5.8,2.5,0.9,0.1,0.9,1.2,2.8
NO,Jordan Poole,G,33,6,24.5,13.9,0.2,1.8,2.1,3.1,0.6,0.4,1.8,2.3,1.7
NO,Jeremiah Fears,G,67,44,25.3,13.1,0.7,3.0,3.7,3.3,1.1,0.4,2.3,1.9,1.4
NO,Derik Queen,C,66,45,25.2,11.7,1.7,5.4,7.0,3.9,1.0,0.9,2.3,2.8,1.7
NO,Herbert Jones,F,44,44,28.8,9.0,0.8,2.7,3.5,2.8,1.7,0.5,1.3,3.1,2.1
NO,Bryce McGowens,G,42,13,21.0,8.1,0.3,1.8,2.1,1.5,0.6,0.2,0.4,2.1,3.6
